source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,31.59,12.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,16.99,21.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,27.37,29.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,31.15,33.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,34.82,16.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.2,23.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,35.27,24.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,51.75,27.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,28.89,13.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.64,11.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,10.56,30.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,6.3,10.04,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.77,40.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,32.44,37.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,6.21,10.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,7.73,29.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,19.87,35.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,24.79,25.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.76,41.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,20.72,37.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,17.26,6.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,percent,SYNTHETIC,13.67,38.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,51.16,29.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,32.85,33.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,37.91,18.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,14.3,15.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,30.27,34.54,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,33.26,37.04,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,29.53,11.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,2,0,0,equal,c,,,,percent,SYNTHETIC,24.89,25.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,31.17,20.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,11.17,12.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,23.46,25.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Large/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.5,54.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,8.05,22.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,30.06,9.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,18.98,30.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,23.06,6.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,15.91,33.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,26.83,15.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,29.01,32.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,46.69,22.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,11.03,15.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,22.56,25.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,13.15,16.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,53.74,30.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,9.99,12.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,45.26,20.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,8.01,12.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,0,4,0,equal,c,,,,percent,SYNTHETIC,7.61,7.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.76,34.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,20.57,8.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,22.26,38.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,52.19,31.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,19.17,33.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,24.11,11.08,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,26.08,40.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,49.98,29.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,19.49,33.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Assam,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,6.29,28.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,27.25,40.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,32.54,43.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Assam,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,25.38,48.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,26.81,47.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Assam,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,10.28,11.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,31.43,35.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Assam,All,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,20.11,21.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Assam,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,5.76,8.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Assam,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,31.54,7.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,37.88,21.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Assam,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,48.83,31.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Assam,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,37.73,15.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Assam,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,50.28,29.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.04,23.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/Large/area/STvsOthers,AgCensus2015-16,T2-4,Assam,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,14.92,25.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,33.75,55.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Assam,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.02,50.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
