source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,41.11,22.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,56.07,32.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,54.19,58.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,68.94,58.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,75.53,54.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,52.12,29.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,35.99,40.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,49.82,51.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,54.87,56.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,56.43,35.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,72.94,45.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,57.03,45.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,79.0,49.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,48.53,30.85,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,58.86,28.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,27.41,50.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,21.74,25.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,42.36,63.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,56.59,61.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,21.61,26.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.64,49.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,39.83,57.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,46.39,47.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,42.35,65.17,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,40.96,59.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,33.01,22.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,percent,SYNTHETIC,31.55,61.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,78.22,53.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,57.13,57.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,60.55,37.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,32.41,33.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,53.69,57.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,57.67,61.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,49.38,28.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,2,0,0,equal,c,,,,percent,SYNTHETIC,46.52,47.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,51.56,41.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,28.22,29.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,44.61,46.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Large/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,52.67,82.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,24.07,39.74,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,50.08,25.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,38.64,51.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,40.75,22.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.54,54.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,45.78,34.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,52.02,55.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,72.25,43.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,28.04,32.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,43.42,45.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,30.87,34.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,81.66,54.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,26.65,28.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,70.35,41.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,24.01,28.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,0,4,0,equal,c,,,,percent,SYNTHETIC,23.48,23.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,42.34,55.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,37.42,24.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,43.01,61.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,79.59,55.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,38.89,55.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.15,28.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,48.11,64.08,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,76.64,53.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Assam/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,39.32,54.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Assam/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Assam,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.72,47.57,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Assam/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,49.67,64.28,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Assam/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,56.72,68.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Assam/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Assam,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,47.18,75.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Assam/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,49.09,73.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Assam/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Assam,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,27.04,28.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Assam/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,55.24,59.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Assam/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Assam,All,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,40.15,41.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Assam/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Assam,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,21.02,23.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Assam/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Assam,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,52.06,23.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Assam/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,60.5,41.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
